legacy_url,legacy_id,tip,yeni_url,eylem,not
/fortune-500-nedir-dunyanin-en-guclu-sirketlerinin-sirri.html?amp=1,6854,post-amp,/fortune-500-nedir-dunyanin-en-guclu-sirketlerinin-sirri.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/fortune-500-nedir-dunyanin-en-guclu-sirketlerinin-sirri.html/amp,6854,post-amp,/fortune-500-nedir-dunyanin-en-guclu-sirketlerinin-sirri.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/piri-reisin-gizemli-sirlari.html,6848,post,/piri-reisin-gizemli-sirlari.html,keep,kategori=218; tarih=2024-09-20
/piri-reisin-gizemli-sirlari.html?amp=1,6848,post-amp,/piri-reisin-gizemli-sirlari.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/piri-reisin-gizemli-sirlari.html/amp,6848,post-amp,/piri-reisin-gizemli-sirlari.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/d5-render-interior-in-8-minutes-tutorial-starter.html,6844,post,/d5-render-interior-in-8-minutes-tutorial-starter.html,keep,"kategori=1168,538; tarih=2024-09-19"
/d5-render-interior-in-8-minutes-tutorial-starter.html?amp=1,6844,post-amp,/d5-render-interior-in-8-minutes-tutorial-starter.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/d5-render-interior-in-8-minutes-tutorial-starter.html/amp,6844,post-amp,/d5-render-interior-in-8-minutes-tutorial-starter.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/kadinlarin-hakkinda-bilmediginiz-10-sir.html,6840,post,/kadinlarin-hakkinda-bilmediginiz-10-sir.html,keep,kategori=218; tarih=2024-09-16
/kadinlarin-hakkinda-bilmediginiz-10-sir.html?amp=1,6840,post-amp,/kadinlarin-hakkinda-bilmediginiz-10-sir.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/kadinlarin-hakkinda-bilmediginiz-10-sir.html/amp,6840,post-amp,/kadinlarin-hakkinda-bilmediginiz-10-sir.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/hayvanlar-alemindeki-gizli-harikalar.html,6835,post,/hayvanlar-alemindeki-gizli-harikalar.html,keep,kategori=218; tarih=2024-09-10
/hayvanlar-alemindeki-gizli-harikalar.html?amp=1,6835,post-amp,/hayvanlar-alemindeki-gizli-harikalar.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/hayvanlar-alemindeki-gizli-harikalar.html/amp,6835,post-amp,/hayvanlar-alemindeki-gizli-harikalar.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/boceklerin-inanilmaz-dunyasi.html,6831,post,/boceklerin-inanilmaz-dunyasi.html,keep,kategori=218; tarih=2024-09-10
/boceklerin-inanilmaz-dunyasi.html?amp=1,6831,post-amp,/boceklerin-inanilmaz-dunyasi.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/boceklerin-inanilmaz-dunyasi.html/amp,6831,post-amp,/boceklerin-inanilmaz-dunyasi.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/dunyanin-gizli-kalmis-harikalari.html,6826,post,/dunyanin-gizli-kalmis-harikalari.html,keep,kategori=218; tarih=2024-09-10
